Year,Argentina: Top 1%,Argentina: Top 0.1%
12/31/10,,
12/31/09,,
12/31/08,,
12/31/07,,
12/31/06,,
12/31/05,,
12/31/04,16.75,7.02
12/31/03,16.85,7.4
12/31/02,15.53,6.92
12/31/01,12.91,5.22
12/31/00,14.34,5.68
12/31/99,13.53,5.22
12/31/98,12.57,4.37
12/31/97,12.39,4.27
12/31/96,,
12/31/95,,
12/31/94,,
12/31/93,,
12/31/92,,
12/31/91,,
12/31/90,,
12/31/89,,
12/31/88,,
12/31/87,,
12/31/86,,
12/31/85,,
12/31/84,,
12/31/83,,
12/31/82,,
12/31/81,,
12/31/80,,
12/31/79,,
12/31/78,,
12/31/77,,
12/31/76,,
12/31/75,,
12/31/74,,
12/31/73,7.4,2.04
12/31/72,9.44,2.15
12/31/71,10.78,2.36
12/31/70,12.18,2.6
12/31/69,,
12/31/68,,
12/31/67,,
12/31/66,,
12/31/65,,
12/31/64,,
12/31/63,,
12/31/62,,
12/31/61,14.68,4.91
12/31/60,,
12/31/59,15.92,5.23
12/31/58,14.17,4.98
12/31/57,,
12/31/56,15.66,5.42
12/31/55,,
12/31/54,16.54,5.84
12/31/53,15.35,5.12
12/31/52,15.96,5.64
12/31/51,16.96,6.85
12/31/50,19.81,8.15
12/31/49,19.34,7.87
12/31/48,23.22,9.78
12/31/47,24.02,10.51
12/31/46,22.63,9.79
12/31/45,23.39,9.76
12/31/44,24.75,10.63
12/31/43,25.96,11.62
12/31/42,23.77,11.38
12/31/41,22.43,9.44
12/31/40,20.11,8.25
12/31/39,20.88,8.34
12/31/38,20.47,8.1
12/31/37,20.44,8.11
12/31/36,20.4,7.76
12/31/35,18.44,7.41
12/31/34,18.06,7.28
12/31/33,17.18,6.8
12/31/32,18.77,7.52
12/31/31,,
12/31/30,,
12/31/29,,
12/31/28,,
12/31/27,,
12/31/26,,
12/31/25,,
12/31/24,,
12/31/23,,
12/31/22,,
12/31/21,,
12/31/20,,
12/31/19,,
12/31/18,,
12/31/17,,
12/31/16,,
12/31/15,,
12/31/14,,
12/31/13,,
