Year,China: Top 1%,China: Top 0.1%
12/31/10,11,
12/31/09,,
12/31/08,,
12/31/07,,
12/31/06,,
12/31/05,,
12/31/04,,
12/31/03,8.805,1.8
12/31/02,7.98,1.545
12/31/01,7.575,1.425
12/31/00,7.56,1.44
12/31/99,7.155,1.275
12/31/98,7.26,1.305
12/31/97,7.335,1.35
12/31/96,7.035,1.29
12/31/95,6.57,1.05
12/31/94,6.63,1.155
12/31/93,6.51,1.125
12/31/92,5.94,1.125
12/31/91,5.07,0.915
12/31/90,4.995,0.855
12/31/89,5.175,0.84
12/31/88,5.01,0.93
12/31/87,4.005,0.69
12/31/86,3.975,0.705
12/31/85,,
12/31/84,,
12/31/83,,
12/31/82,,
12/31/81,,
12/31/80,,
12/31/79,,
12/31/78,,
12/31/77,,
12/31/76,,
12/31/75,,
12/31/74,,
12/31/73,,
12/31/72,,
12/31/71,,
12/31/70,,
12/31/69,,
12/31/68,,
12/31/67,,
12/31/66,,
12/31/65,,
12/31/64,,
12/31/63,,
12/31/62,,
12/31/61,,
12/31/60,,
12/31/59,,
12/31/58,,
12/31/57,,
12/31/56,,
12/31/55,,
12/31/54,,
12/31/53,,
12/31/52,,
12/31/51,,
12/31/50,,
12/31/49,,
12/31/48,,
12/31/47,,
12/31/46,,
12/31/45,,
12/31/44,,
12/31/43,,
12/31/42,,
12/31/41,,
12/31/40,,
12/31/39,,
12/31/38,,
12/31/37,,
12/31/36,,
12/31/35,,
12/31/34,,
12/31/33,,
12/31/32,,
12/31/31,,
12/31/30,,
12/31/29,,
12/31/28,,
12/31/27,,
12/31/26,,
12/31/25,,
12/31/24,,
12/31/23,,
12/31/22,,
12/31/21,,
12/31/20,,
12/31/19,,
12/31/18,,
12/31/17,,
12/31/16,,
12/31/15,,
12/31/14,,
12/31/13,,
