Year,Colombia: Top 1%,Colombia: Top 0.1%
12/31/10,20.45,7.37
12/31/09,20.17,7.13
12/31/08,20.25,7.49
12/31/07,20.49,7.78
12/31/06,19.94,7.62
12/31/05,18.8,0
12/31/04,17.8,0
12/31/03,19.92,6.03
12/31/02,17.96,5.97
12/31/01,17.31,5.99
12/31/00,17.32,6.1
12/31/99,18.1,6.32
12/31/98,19.77,6.97
12/31/97,20.85,7.51
12/31/96,21.3,7.67
12/31/95,20.76,7.85
12/31/94,20.54,8.09
12/31/93,20.48,8.36
12/31/92,,
12/31/91,,
12/31/90,,
12/31/89,,
12/31/88,,
12/31/87,,
12/31/86,,
12/31/85,,
12/31/84,,
12/31/83,,
12/31/82,,
12/31/81,,
12/31/80,,
12/31/79,,
12/31/78,,
12/31/77,,
12/31/76,,
12/31/75,,
12/31/74,,
12/31/73,,
12/31/72,,
12/31/71,,
12/31/70,,
12/31/69,,
12/31/68,,
12/31/67,,
12/31/66,,
12/31/65,,
12/31/64,,
12/31/63,,
12/31/62,,
12/31/61,,
12/31/60,,
12/31/59,,
12/31/58,,
12/31/57,,
12/31/56,,
12/31/55,,
12/31/54,,
12/31/53,,
12/31/52,,
12/31/51,,
12/31/50,,
12/31/49,,
12/31/48,,
12/31/47,,
12/31/46,,
12/31/45,,
12/31/44,,
12/31/43,,
12/31/42,,
12/31/41,,
12/31/40,,
12/31/39,,
12/31/38,,
12/31/37,,
12/31/36,,
12/31/35,,
12/31/34,,
12/31/33,,
12/31/32,,
12/31/31,,
12/31/30,,
12/31/29,,
12/31/28,,
12/31/27,,
12/31/26,,
12/31/25,,
12/31/24,,
12/31/23,,
12/31/22,,
12/31/21,,
12/31/20,,
12/31/19,,
12/31/18,,
12/31/17,,
12/31/16,,
12/31/15,,
12/31/14,,
12/31/13,,
