Year,India: Top 1%,India: Top 0.1%
12/31/10,12,
12/31/09,,
12/31/08,,
12/31/07,,
12/31/06,,
12/31/05,,
12/31/04,,
12/31/03,,
12/31/02,,
12/31/01,,
12/31/00,,
12/31/99,8.95,3.64
12/31/98,8.95,3.64
12/31/97,10.7,4.36
12/31/96,8.72,3.08
12/31/95,8.67,3.52
12/31/94,8.09,2.61
12/31/93,8.53,2.86
12/31/92,6.96,1.91
12/31/91,7.12,1.76
12/31/90,7.42,1.84
12/31/89,8.19,2.38
12/31/88,8.52,2.71
12/31/87,8.12,2.51
12/31/86,8.64,2.61
12/31/85,8.24,2.45
12/31/84,6.39,1.88
12/31/83,6.46,1.83
12/31/82,4.51,1.33
12/31/81,4.39,1.21
12/31/80,4.78,1.39
12/31/79,5.61,1.66
12/31/78,6.05,1.81
12/31/77,6.18,1.9
12/31/76,7.27,2.16
12/31/75,7.24,2.25
12/31/74,6.65,2.01
12/31/73,7.02,2.22
12/31/72,,
12/31/71,8.47,2.83
12/31/70,10.02,3.43
12/31/69,,
12/31/68,9.95,3.48
12/31/67,10.01,3.51
12/31/66,9.99,3.66
12/31/65,10.92,3.93
12/31/64,9.65,3.23
12/31/63,,
12/31/62,11.58,4.24
12/31/61,12.15,4.61
12/31/60,12.31,4.79
12/31/59,12.36,4.77
12/31/58,12.56,4.92
12/31/57,13.34,5.31
12/31/56,12.77,5.18
12/31/55,14.41,5.92
12/31/54,13.58,5.68
12/31/53,11.92,5.15
12/31/52,,
12/31/51,,
12/31/50,13.42,5.6
12/31/49,12,5.24
12/31/48,11.84,5.29
12/31/47,11.23,5.44
12/31/46,,
12/31/45,11.41,5.21
12/31/44,11.13,5.1
12/31/43,10.32,4.84
12/31/42,,
12/31/41,14.06,6.85
12/31/40,16.15,7.53
12/31/39,16.11,7.38
12/31/38,17.82,7.63
12/31/37,15.54,6.71
12/31/36,15.58,6.73
12/31/35,17.33,7.34
12/31/34,16.9,7.28
12/31/33,17.11,7.39
12/31/32,16.14,7.03
12/31/31,16.09,6.94
12/31/30,14.53,6.39
12/31/29,13.07,5.77
12/31/28,13.62,5.92
12/31/27,13.32,5.82
12/31/26,12.89,5.57
12/31/25,12.38,5.39
12/31/24,11.46,5.37
12/31/23,13.39,5.91
12/31/22,12.72,5.66
12/31/21,,
12/31/20,,
12/31/19,,
12/31/18,,
12/31/17,,
12/31/16,,
12/31/15,,
12/31/14,,
12/31/13,,
