Year,Indonesia: Top 1%,Indonesia: Top 0.1%
12/31/10,13,
12/31/09,,
12/31/08,,
12/31/07,,
12/31/06,,
12/31/05,,
12/31/04,8.46,
12/31/03,9.76,1.34
12/31/02,10.47,1.47
12/31/01,15.52,
12/31/00,13.82,
12/31/99,13.65,
12/31/98,12.42,
12/31/97,,
12/31/96,9.69,
12/31/95,,
12/31/94,,
12/31/93,9.1,
12/31/92,,
12/31/91,,
12/31/90,8.05,
12/31/89,,
12/31/88,,
12/31/87,7.99,
12/31/86,,
12/31/85,,
12/31/84,,
12/31/83,,
12/31/82,7.17,
12/31/81,,
12/31/80,,
12/31/79,,
12/31/78,,
12/31/77,,
12/31/76,,
12/31/75,,
12/31/74,,
12/31/73,,
12/31/72,,
12/31/71,,
12/31/70,,
12/31/69,,
12/31/68,,
12/31/67,,
12/31/66,,
12/31/65,,
12/31/64,,
12/31/63,,
12/31/62,,
12/31/61,,
12/31/60,,
12/31/59,,
12/31/58,,
12/31/57,,
12/31/56,,
12/31/55,,
12/31/54,,
12/31/53,,
12/31/52,,
12/31/51,,
12/31/50,,
12/31/49,,
12/31/48,,
12/31/47,,
12/31/46,,
12/31/45,,
12/31/44,,
12/31/43,,
12/31/42,,
12/31/41,,
12/31/40,,
12/31/39,19.87,7.03
12/31/38,19.8,7.24
12/31/37,,6.56
12/31/36,,6.93
12/31/35,,6.81
12/31/34,21.51,7.22
12/31/33,21.55,7.18
12/31/32,21.13,7.02
12/31/31,20.03,6.77
12/31/30,16.64,5.87
12/31/29,16.71,6.32
12/31/28,16.38,6.14
12/31/27,15.52,5.98
12/31/26,15,5.97
12/31/25,14.19,5.65
12/31/24,14.42,5.67
12/31/23,14.81,5.69
12/31/22,14.28,5.35
12/31/21,11.82,5.54
12/31/20,,3.7
12/31/19,,
12/31/18,,
12/31/17,,
12/31/16,,
12/31/15,,
12/31/14,,
12/31/13,,
