Year,SATop1,SATop0.1
2010,16.58,4.78
2009,16.76,4.9
2008,17.89,5.46
2007,18.12,5.89
2006,17.1,5.32
2005,16.18,4.82
2004,15.38,4.41
2003,15.23,4.27
2002,14.95,4.32
2001,,
2000,,
1999,,
1998,,
1997,,
1996,,
1995,,
1994,,
1993,10.27,
1992,10.56,
1991,10.54,
1990,9.85,
1989,,
1988,9.88,2.42
1987,8.78,1.94
1986,10.35,2.49
1985,10.64,2.68
1984,11.3,2.91
1983,11.34,3.03
1982,12,3.12
1981,11.35,
1980,10.89,2.48
1979,9.93,
1978,10.35,
1977,,
1976,,
1975,12.18,2.59
1974,12.94,2.94
1973,,
1972,,
1971,12.9,2.73
1970,,
1969,13.38,3
1968,,
1967,12.64,2.9
1966,,
1965,13.26,3.2
1964,13.67,3.33
1963,13.2,3.23
1962,,
1961,11.79,2.75
1960,,
1959,12.59,2.93
1958,12.93,3.07
1957,13.56,3.25
1956,13.92,3.4
1955,14.42,3.59
1954,14.16,3.54
1953,,
1952,,
1951,,
1950,,
1949,17.74,5.6
1948,22.09,7.03
1947,21.29,7.34
1946,23.61,8.48
1945,20.44,7
1944,18.24,5.8
1943,,
1942,,
1941,,
1940,,
1939,16.02,4.94
1938,17.09,5.35
1937,17.76,5.62
1936,18.49,6.18
1935,18.87,6.27
1934,18.54,6.17
1933,19.46,6.83
1932,19.77,6.57
1931,20.34,6.18
1930,20.53,6.23
1929,20.15,6.19
1928,20.08,6.31
1927,19.99,6.27
1926,20.2,6.36
1925,20.61,6.43
1924,19.97,6.22
1923,19.53,6.03
1922,19.22,5.85
1921,21.82,6.61
1920,20.31,6.34
1919,19.1,6.49
1918,21.1,7.17
1917,22.89,8.85
1916,22.06,8.02
1915,21.95,8.18
1914,22.03,7.65
1913,,7.22
